D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
101127|2018|Honda|Accord|Sedan|Blue|42105|18900.00
101128|2015|Jeep|Grand Cherokee|SUV|Silver|95432|14500.00
101129|2020|Hyundai|Elantra|Sedan|White|28114|16995.00
101130|2011|Ford|F-150|Truck|Black|148900|8450.00
101131|2019|Subaru|Impreza|Hatchback|Blue|33450|19200.00
101132|2017|Toyota|Sienna|Van|Gray|82100|21500.00
101133|2021|Chevrolet|Tahoe|SUV|Black|15400|48900.00
101134|2014|Ford|Mustang|Coupe|Red|65221|15995.00
101135|2016|Nissan|Rogue|SUV|White|74300|12450.00
101136|2013|Honda|Odyssey|Van|Silver|112000|9900.00
101137|2022|Ram|1500|Truck|Gray|12500|39995.00
101138|2019|Kia|Soul|Wagon|Green|41200|14200.00
101139|2015|BMW|328i|Sedan|Black|88000|13900.00
101140|2018|Mazda|CX-5|SUV|Red|53100|18500.00
101141|2020|Tesla|Model 3|Sedan|White|31000|29995.00
